	SKMM2_cDNA_control_1	SKMM2_cDNA_control_2	SKMM2_cDNA_control_3	SKMM2_cDNA_IL6_1	SKMM2_cDNA_IL6_2	SKMM2_cDNA_IL6_3	SKMM2_dRNA_control_1	SKMM2_dRNA_control_2	SKMM2_dRNA_control_3	SKMM2_dRNA_IL6_1	SKMM2_dRNA_IL6_2	SKMM2_dRNA_IL6_3
ENSG00000005801.18	58	31.00001	40	37.00001	46	35	41.99999	42.00001	37	44	56.99998	20.99999
ENSG00000005810.20	38.00001	24	26.99998	25.00001	45.99999	9	120.00001	105	101.99999	130.99999	122.99998	74.99999
ENSG00000005812.11	15	9	12	7	12	7	103	86	92	71	76	48
ENSG00000005844.19	7	12	9	21	15	18	35	50	39	48	39.99999	37
ENSG00000005882.12	14	9	14	10	18	12	109.99999	83	82	70	71	76
ENSG00000005884.18	6	6	4	5	4	0	31	38	33	19	15	19
ENSG00000005889.16	6	3	2	8	6	9	29	48	24	34	23	19
ENSG00000005893.17	45.00001	40	31	51	55.99999	38	353	359	303	298	329	282
ENSG00000005961.19	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000005981.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006007.12	32	32	41	43	43	51	218	221	225	284	248	245
ENSG00000006015.18	16.99999	32	37	29.00001	19	22	330.99999	323.99999	302.00001	237	187	200.00001
ENSG00000006016.12	4	0	0	3	0	1	0	0	0	0	1	0
ENSG00000006025.13	4	2	4	1	1	2	14	18	17	16	10	8
ENSG00000006042.12	1	9	5	5	4	0	11	11	19	12	6	9
ENSG00000006047.13	0	2	0	0	0	0	19	12	11	7	5	4
ENSG00000006059.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062.18	2	0	0	2	7	0	20	12	10	12	13	9
ENSG00000006071.16	0	0	0	0	0	0	0	0	0	0	0	0
